Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
60703496,00000461,false,Rx,0,8,8B,09,4B,09,5B,10,0B,13,
60704416,00000471,false,Rx,0,8,8B,13,0B,12,0B,10,0B,13,
60705422,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
60706384,000007E1,false,Rx,0,8,CC,A3,00,00,00,00,00,B3,
60707177,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
60713787,00000463,false,Rx,0,8,8B,10,4B,10,5B,1B,0B,1A,
60714686,00000473,false,Rx,0,8,8B,1C,0B,1B,0B,1B,0B,1B,
60715681,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
60718584,00000464,false,Rx,0,8,8C,C5,4C,C6,5C,D5,0C,D3,
60719504,00000474,false,Rx,0,8,8C,D3,0C,D4,0C,D3,0C,D2,
60720468,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
60728854,00000466,false,Rx,0,8,8C,6F,4C,6D,5C,76,0C,77,
60729744,00000476,false,Rx,0,8,8C,78,0C,79,0C,79,0C,78,
60730750,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
60753317,00000468,false,Rx,0,8,8C,A2,4C,A4,5C,A9,0C,AA,
60754247,00000478,false,Rx,0,8,8C,AA,0C,A8,0C,AA,0C,AB,
60755213,000007E8,false,Rx,0,8,CC,92,00,00,00,00,00,A9,
60763976,0000046A,false,Rx,0,8,8C,B0,4C,B1,5C,B7,0C,B8,
60764866,0000047A,false,Rx,0,8,8C,B7,0C,B7,0C,B7,0C,B8,
60765850,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
60772850,0000046C,false,Rx,0,6,8B,10,4B,12,5B,1B,00,00,
60773628,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1B,00,00,
60774642,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
60776962,0000046D,false,Rx,0,6,8C,99,4C,97,5C,A1,00,00,
60777770,0000047D,false,Rx,0,6,8C,A0,0C,9F,0C,9F,00,00,
60778754,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
60782458,0000046E,false,Rx,0,6,8C,A0,4C,A1,5C,A8,00,00,
60783246,0000047E,false,Rx,0,6,8C,A9,0C,A8,0C,A8,00,00,
60784280,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
60799262,00000200,false,Rx,0,3,52,C0,00,00,00,00,00,00,
60897135,00000460,false,Rx,0,6,8B,0E,AB,0D,DB,15,00,00,
60897922,00000470,false,Rx,0,6,8B,16,0B,16,0B,17,00,00,
60898938,000007E0,false,Rx,0,8,4C,AF,00,00,00,00,00,BC,
60903510,00000461,false,Rx,0,8,8B,08,AB,08,DB,11,0B,14,
60904410,00000471,false,Rx,0,8,8B,12,0B,11,0B,10,0B,12,
60905425,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
60906387,000007E1,false,Rx,0,8,4C,A3,00,00,00,00,00,B1,
60907170,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
60913820,00000463,false,Rx,0,8,8B,10,AB,0F,DB,1C,0B,1B,
60914720,00000473,false,Rx,0,8,8B,1A,0B,1B,0B,1A,0B,1A,
60915715,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
60918616,00000464,false,Rx,0,8,8C,C4,AC,C6,DC,D4,0C,D3,
60919517,00000474,false,Rx,0,8,8C,D3,0C,D5,0C,D4,0C,D2,
60920491,000007E4,false,Rx,0,8,4C,B4,00,00,00,00,00,C5,
60928867,00000466,false,Rx,0,8,8C,6E,AC,6D,DC,76,0C,77,
60929756,00000476,false,Rx,0,8,8C,78,0C,77,0C,79,0C,78,
60930740,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
60953350,00000468,false,Rx,0,8,8C,A3,AC,A4,DC,A9,0C,A9,
60954290,00000478,false,Rx,0,8,8C,A8,0C,A8,0C,AA,0C,AB,
60955254,000007E8,false,Rx,0,8,4C,92,00,00,00,00,00,A7,
60963998,0000046A,false,Rx,0,8,8C,AF,AC,B1,DC,B6,0C,B8,
60964898,0000047A,false,Rx,0,8,8C,B7,0C,B8,0C,B9,0C,B9,
60965882,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
60972861,0000046C,false,Rx,0,6,8B,10,AB,11,DB,1B,00,00,
60973649,0000047C,false,Rx,0,6,8B,1B,0B,1C,0B,1C,00,00,
60974653,000007EC,false,Rx,0,8,4C,BA,00,00,00,00,00,D3,
60977015,0000046D,false,Rx,0,6,8C,98,AC,98,DC,A1,00,00,
60977812,0000047D,false,Rx,0,6,8C,9F,0C,A1,0C,9F,00,00,
60978807,000007ED,false,Rx,0,8,4C,C2,00,00,00,00,00,DC,
60982462,0000046E,false,Rx,0,6,8C,A1,AC,A2,DC,A9,00,00,
60983260,0000047E,false,Rx,0,6,8C,A8,0C,A7,0C,A8,00,00,
60984284,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
60999275,00000200,false,Rx,0,3,D2,F3,00,00,00,00,00,00,
61097144,00000460,false,Rx,0,6,8B,0F,8B,0D,3B,15,00,00,
61097941,00000470,false,Rx,0,6,8B,17,0B,16,0B,17,00,00,
61098956,000007E0,false,Rx,0,8,CC,AF,00,00,00,00,00,BE,
61103549,00000461,false,Rx,0,8,8B,08,8B,08,3B,11,0B,13,
61104440,00000471,false,Rx,0,8,8B,12,0B,13,0B,11,0B,13,
61105446,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
61106428,000007E1,false,Rx,0,8,CC,A4,00,00,00,00,00,B4,
61107211,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
61113820,00000463,false,Rx,0,8,8B,10,8B,10,3B,1B,0B,1B,
61114719,00000473,false,Rx,0,8,8B,1B,0B,1C,0B,1A,0B,1C,
61115714,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
61118646,00000464,false,Rx,0,8,8C,C5,8C,C6,3C,D4,0C,D4,
61119566,00000474,false,Rx,0,8,8C,D3,0C,D4,0C,D3,0C,D2,
61120530,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
61128896,00000466,false,Rx,0,8,8C,6F,8C,6E,3C,76,0C,78,
61129795,00000476,false,Rx,0,8,8C,7A,0C,77,0C,75,0C,78,
61130791,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
61153358,00000468,false,Rx,0,8,8C,A3,8C,A3,3C,A9,0C,AA,
61154278,00000478,false,Rx,0,8,8C,A9,0C,A8,0C,AA,0C,AB,
61155252,000007E8,false,Rx,0,8,CC,91,00,00,00,00,00,A8,
61164006,0000046A,false,Rx,0,8,8C,B0,8C,B2,3C,B9,0C,B9,
61164915,0000047A,false,Rx,0,8,8C,B8,0C,B8,0C,B7,0C,B6,
61165910,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
61172880,0000046C,false,Rx,0,6,8B,0F,8B,11,3B,1A,00,00,
61173678,0000047C,false,Rx,0,6,8B,1B,0B,1C,0B,1B,00,00,
61174673,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
61177014,0000046D,false,Rx,0,6,8C,99,8C,98,3C,A1,00,00,
61177811,0000047D,false,Rx,0,6,8C,A0,0C,A0,0C,9F,00,00,
61178815,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
61182501,0000046E,false,Rx,0,6,8C,A0,8C,A1,3C,A8,00,00,
61183309,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A8,00,00,
61184313,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
61199285,00000200,false,Rx,0,3,52,05,00,00,00,00,00,00,
61297103,00000460,false,Rx,0,6,8B,0F,4B,0D,CB,15,00,00,
61297900,00000470,false,Rx,0,6,8B,17,0B,16,0B,17,00,00,
61298907,000007E0,false,Rx,0,8,4C,AF,00,00,00,00,00,BC,
61303520,00000461,false,Rx,0,8,8B,09,4B,0A,CB,12,0B,13,
61304431,00000471,false,Rx,0,8,8B,12,0B,12,0B,11,0B,12,
61305445,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
61306398,000007E1,false,Rx,0,8,4C,A4,00,00,00,00,00,B2,
61307190,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
61313789,00000463,false,Rx,0,8,8B,10,4B,10,CB,1B,0B,1C,
61314689,00000473,false,Rx,0,8,8B,1A,0B,1C,0B,1B,0B,1B,
61315684,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
61318606,00000464,false,Rx,0,8,8C,C5,4C,C7,CC,D4,0C,D3,
61319516,00000474,false,Rx,0,8,8C,D3,0C,D5,0C,D3,0C,D3,
61320492,000007E4,false,Rx,0,8,4C,B4,00,00,00,00,00,C5,
61328857,00000466,false,Rx,0,8,8C,6F,4C,6F,CC,77,0C,77,
61329756,00000476,false,Rx,0,8,8C,78,0C,79,0C,79,0C,76,
61330741,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
61353330,00000468,false,Rx,0,8,8C,A2,4C,A4,CC,A9,0C,A9,
61354240,00000478,false,Rx,0,8,8C,A9,0C,A9,0C,AA,0C,AA,
61355215,000007E8,false,Rx,0,8,4C,91,00,00,00,00,00,A6,
61363976,0000046A,false,Rx,0,8,8C,AF,4C,B1,CC,B8,0C,BA,
61364886,0000047A,false,Rx,0,8,8C,B8,0C,B9,0C,B5,0C,B7,
61365872,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
61372851,0000046C,false,Rx,0,6,8B,10,4B,11,CB,1B,00,00,
61373629,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1C,00,00,
61374653,000007EC,false,Rx,0,8,4C,BA,00,00,00,00,00,D3,
61376984,0000046D,false,Rx,0,6,8C,98,4C,97,CC,A1,00,00,
61377801,0000047D,false,Rx,0,6,8C,9F,0C,A0,0C,A0,00,00,
61378776,000007ED,false,Rx,0,8,4C,C2,00,00,00,00,00,DC,
61382461,0000046E,false,Rx,0,6,8C,A1,4C,A2,CC,A8,00,00,
61383259,0000047E,false,Rx,0,6,8C,A8,0C,A9,0C,A8,00,00,
61384275,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
61399297,00000200,false,Rx,0,3,D2,36,00,00,00,00,00,00,
61497129,00000460,false,Rx,0,6,8B,0E,1B,0D,BB,15,00,00,
61497906,00000470,false,Rx,0,6,8B,16,0B,16,0B,17,00,00,
61498940,000007E0,false,Rx,0,8,CC,AF,00,00,00,00,00,BE,
61503544,00000461,false,Rx,0,8,8B,09,1B,09,BB,10,0B,13,
61504444,00000471,false,Rx,0,8,8B,12,0B,11,0B,10,0B,14,
61505450,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
61506423,000007E1,false,Rx,0,8,CC,A3,00,00,00,00,00,B3,
61507206,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
61513803,00000463,false,Rx,0,8,8B,11,1B,10,BB,1B,0B,19,
61514714,00000473,false,Rx,0,8,8B,1C,0B,1A,0B,1C,0B,1A,
61515709,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
61518632,00000464,false,Rx,0,8,8C,C5,1C,C6,BC,D4,0C,D4,
61519541,00000474,false,Rx,0,8,8C,D3,0C,D4,0C,D3,0C,D2,
61520506,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
61528892,00000466,false,Rx,0,8,8C,70,1C,6F,BC,77,0C,76,
61529792,00000476,false,Rx,0,8,8C,77,0C,77,0C,79,0C,79,
61530786,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
61553362,00000468,false,Rx,0,8,8C,A2,1C,A3,BC,A8,0C,AA,
61554283,00000478,false,Rx,0,8,8C,A9,0C,A8,0C,AA,0C,AA,
61555258,000007E8,false,Rx,0,8,CC,92,00,00,00,00,00,A9,
61564002,0000046A,false,Rx,0,8,8C,B1,1C,B2,BC,B8,0C,B8,
61564890,0000047A,false,Rx,0,8,8C,B8,0C,B9,0C,B9,0C,BA,
61565885,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
61572894,0000046C,false,Rx,0,6,8B,10,1B,11,BB,1B,00,00,
61573673,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1C,00,00,
61574678,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
61576998,0000046D,false,Rx,0,6,8C,99,1C,98,BC,A1,00,00,
61577805,0000047D,false,Rx,0,6,8C,A0,0C,9F,0C,9F,00,00,
61578809,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
61582495,0000046E,false,Rx,0,6,8C,A0,1C,A2,BC,A9,00,00,
61583274,0000047E,false,Rx,0,6,8C,A9,0C,A7,0C,A8,00,00,
61584318,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
61599300,00000200,false,Rx,0,3,52,59,00,00,00,00,00,00,
61697162,00000460,false,Rx,0,6,8B,0E,6B,0D,FB,15,00,00,
61697928,00000470,false,Rx,0,6,8B,17,0B,15,0B,17,00,00,
61698953,000007E0,false,Rx,0,8,4C,AF,00,00,00,00,00,BC,
61703546,00000461,false,Rx,0,8,8B,0A,6B,09,FB,10,0B,14,
61704457,00000471,false,Rx,0,8,8B,11,0B,12,0B,10,0B,12,
61705462,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
61706424,000007E1,false,Rx,0,8,4C,A3,00,00,00,00,00,B1,
61707207,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
61713817,00000463,false,Rx,0,8,8B,0F,6B,11,FB,1B,0B,1A,
61714737,00000473,false,Rx,0,8,8B,1C,0B,19,0B,1C,0B,1B,
61715722,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
61718645,00000464,false,Rx,0,8,8C,C4,6C,C7,FC,D4,0C,D3,
61719554,00000474,false,Rx,0,8,8C,D5,0C,D4,0C,D3,0C,D2,
61720530,000007E4,false,Rx,0,8,4C,B4,00,00,00,00,00,C5,
61728904,00000466,false,Rx,0,8,8C,6F,6C,6F,FC,79,0C,78,
61729835,00000476,false,Rx,0,8,8C,76,0C,76,0C,76,0C,77,
61730809,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
61753366,00000468,false,Rx,0,8,8C,A2,6C,A3,FC,A9,0C,AA,
61754276,00000478,false,Rx,0,8,8C,A9,0C,A8,0C,AA,0C,AB,
61755241,000007E8,false,Rx,0,8,4C,92,00,00,00,00,00,A7,
61764015,0000046A,false,Rx,0,8,8C,B1,6C,B2,FC,B8,0C,B8,
61764914,0000047A,false,Rx,0,8,8C,B8,0C,B9,0C,B9,0C,B8,
61765899,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
61772888,0000046C,false,Rx,0,6,8B,10,6B,11,FB,1B,00,00,
61773676,0000047C,false,Rx,0,6,8B,1B,0B,1C,0B,1B,00,00,
61774680,000007EC,false,Rx,0,8,4C,BA,00,00,00,00,00,D3,
61777031,0000046D,false,Rx,0,6,8C,99,6C,97,FC,A2,00,00,
61777838,0000047D,false,Rx,0,6,8C,A0,0C,9F,0C,9F,00,00,
61778832,000007ED,false,Rx,0,8,4C,C2,00,00,00,00,00,DC,
61782495,0000046E,false,Rx,0,6,8C,A1,6C,A1,FC,A9,00,00,
61783293,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A8,00,00,
61784310,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
61799332,00000200,false,Rx,0,3,D2,6D,00,00,00,00,00,00,
61897196,00000460,false,Rx,0,6,8B,0E,0B,0D,BB,15,00,00,
61897972,00000470,false,Rx,0,6,8B,17,0B,17,0B,17,00,00,
61899008,000007E0,false,Rx,0,8,CC,AF,00,00,00,00,00,BE,
61903580,00000461,false,Rx,0,8,8B,09,0B,0A,BB,12,0B,12,
61904500,00000471,false,Rx,0,8,8B,10,0B,12,0B,10,0B,13,
61905505,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
61906469,000007E1,false,Rx,0,8,CC,A3,00,00,00,00,00,B3,
61907261,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
61913849,00000463,false,Rx,0,8,8B,0E,0B,12,BB,1B,0B,1A,
61914749,00000473,false,Rx,0,8,8B,1B,0B,1C,0B,1B,0B,1B,
61915734,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
61918667,00000464,false,Rx,0,8,8C,C5,0C,C6,BC,D4,0C,D4,
61919567,00000474,false,Rx,0,8,8C,D4,0C,D5,0C,D3,0C,D2,
61920532,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
61928908,00000466,false,Rx,0,8,8C,70,0C,71,BC,79,0C,7A,
61929828,00000476,false,Rx,0,8,8C,78,0C,78,0C,77,0C,78,
61930822,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
61953412,00000468,false,Rx,0,8,8C,A2,0C,A3,BC,A9,0C,AA,
61954322,00000478,false,Rx,0,8,8C,A9,0C,A8,0C,AA,0C,AB,
61955296,000007E8,false,Rx,0,8,CC,91,00,00,00,00,00,A8,
61964049,0000046A,false,Rx,0,8,8C,AF,0C,B1,BC,B6,0C,B6,
61964948,0000047A,false,Rx,0,8,8C,B6,0C,B5,0C,B6,0C,B7,
61965943,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
61972901,0000046C,false,Rx,0,6,8B,0F,0B,11,BB,1B,00,00,
61973699,0000047C,false,Rx,0,6,8B,1B,0B,1C,0B,1C,00,00,
61974703,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
61977035,0000046D,false,Rx,0,6,8C,99,0C,97,BC,A1,00,00,
61977842,0000047D,false,Rx,0,6,8C,9F,0C,A0,0C,9F,00,00,
61978836,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
61982522,0000046E,false,Rx,0,6,8C,A1,0C,A2,BC,A7,00,00,
61983320,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A8,00,00,
61984344,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
61999347,00000200,false,Rx,0,3,52,9C,00,00,00,00,00,00,
62097195,00000460,false,Rx,0,6,8B,0E,9B,0D,4B,15,00,00,
62097962,00000470,false,Rx,0,6,8B,17,0B,15,0B,17,00,00,
62098987,000007E0,false,Rx,0,8,4C,B0,00,00,00,00,00,BD,
62103600,00000461,false,Rx,0,8,8B,09,9B,0A,4B,12,0B,13,
62104490,00000471,false,Rx,0,8,8B,11,0B,11,0B,11,0B,13,
62105496,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
62106458,000007E1,false,Rx,0,8,4C,A3,00,00,00,00,00,B1,
62107241,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
62113881,00000463,false,Rx,0,8,8B,0F,9B,10,4B,1B,0B,19,
62114791,00000473,false,Rx,0,8,8B,1C,0B,1C,0B,1A,0B,1C,
62115785,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
62118698,00000464,false,Rx,0,8,8C,C5,9C,C6,4C,D4,0C,D3,
62119618,00000474,false,Rx,0,8,8C,D4,0C,D4,0C,D3,0C,D2,
62120592,000007E4,false,Rx,0,8,4C,B4,00,00,00,00,00,C5,
62128938,00000466,false,Rx,0,8,8C,70,9C,70,4C,79,0C,78,
62129849,00000476,false,Rx,0,8,8C,76,0C,76,0C,78,0C,77,
62130833,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
62153421,00000468,false,Rx,0,8,8C,A4,9C,A3,4C,A9,0C,AA,
62154351,00000478,false,Rx,0,8,8C,A8,0C,A8,0C,AB,0C,AB,
62155316,000007E8,false,Rx,0,8,4C,92,00,00,00,00,00,A7,
62164070,0000046A,false,Rx,0,8,8C,B1,9C,B2,4C,B9,0C,B9,
62164958,0000047A,false,Rx,0,8,8C,B9,0C,B8,0C,B7,0C,B6,
62165944,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
62172933,0000046C,false,Rx,0,6,8B,11,9B,11,4B,1B,00,00,
62173711,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1C,00,00,
62174735,000007EC,false,Rx,0,8,4C,BA,00,00,00,00,00,D3,
62177056,0000046D,false,Rx,0,6,8C,99,9C,97,4C,A1,00,00,
62177863,0000047D,false,Rx,0,6,8C,A0,0C,A0,0C,9E,00,00,
62178867,000007ED,false,Rx,0,8,4C,C2,00,00,00,00,00,DC,
62182544,0000046E,false,Rx,0,6,8C,A1,9C,A2,4C,A9,00,00,
62183352,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A8,00,00,
62184366,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
62199358,00000200,false,Rx,0,3,D2,AF,00,00,00,00,00,00,
62297197,00000460,false,Rx,0,6,8B,0E,4B,0C,5B,15,00,00,
62297985,00000470,false,Rx,0,6,8B,16,0B,16,0B,17,00,00,
62299021,000007E0,false,Rx,0,8,CC,AF,00,00,00,00,00,BE,
62303624,00000461,false,Rx,0,8,8B,09,4B,0A,5B,12,0B,14,
62304533,00000471,false,Rx,0,8,8B,12,0B,12,0B,11,0B,12,
62305538,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
62306512,000007E1,false,Rx,0,8,CC,A4,00,00,00,00,00,B4,
62307304,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
62313902,00000463,false,Rx,0,8,8B,10,4B,10,5B,1B,0B,1C,
62314802,00000473,false,Rx,0,8,8B,1A,0B,1D,0B,1B,0B,1A,
62315798,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
62318699,00000464,false,Rx,0,8,8C,C5,4C,C6,5C,D5,0C,D3,
62319609,00000474,false,Rx,0,8,8C,D3,0C,D4,0C,D4,0C,D2,
62320584,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
62328969,00000466,false,Rx,0,8,8C,6E,4C,6F,5C,78,0C,79,
62329869,00000476,false,Rx,0,8,8C,79,0C,78,0C,79,0C,78,
62330864,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
62353432,00000468,false,Rx,0,8,8C,A2,4C,A3,5C,A9,0C,AA,
62354362,00000478,false,Rx,0,8,8C,AA,0C,A8,0C,AA,0C,AB,
62355336,000007E8,false,Rx,0,8,CC,91,00,00,00,00,00,A8,
62364090,0000046A,false,Rx,0,8,8C,B0,4C,B0,5C,B7,0C,B8,
62364989,0000047A,false,Rx,0,8,8C,B9,0C,B8,0C,B7,0C,B5,
62365984,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
62372962,0000046C,false,Rx,0,6,8B,10,4B,11,5B,1A,00,00,
62373750,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1B,00,00,
62374754,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
62377074,0000046D,false,Rx,0,6,8C,98,4C,97,5C,A1,00,00,
62377891,0000047D,false,Rx,0,6,8C,9F,0C,9F,0C,9F,00,00,
62378876,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
62382562,0000046E,false,Rx,0,6,8C,A1,4C,A2,5C,A8,00,00,
62383360,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A8,00,00,
62384385,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
62399387,00000200,false,Rx,0,3,52,C0,00,00,00,00,00,00,
62497238,00000460,false,Rx,0,6,8B,0E,AB,0D,DB,15,00,00,
62498026,00000470,false,Rx,0,6,8B,16,0B,16,0B,17,00,00,
62499031,000007E0,false,Rx,0,8,4C,B0,00,00,00,00,00,BD,
62503653,00000461,false,Rx,0,8,8B,0A,AB,0A,DB,12,0B,14,
62504553,00000471,false,Rx,0,8,8B,13,0B,13,0B,12,0B,14,
62505558,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
62506521,000007E1,false,Rx,0,8,4C,A3,00,00,00,00,00,B1,
62507304,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
62513914,00000463,false,Rx,0,8,8B,10,AB,11,DB,1A,0B,1C,
62514833,00000473,false,Rx,0,8,8B,1A,0B,1C,0B,1C,0B,19,
62515818,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
62518741,00000464,false,Rx,0,8,8C,C5,AC,C6,DC,D4,0C,D4,
62519651,00000474,false,Rx,0,8,8C,D4,0C,D5,0C,D3,0C,D2,
62520625,000007E4,false,Rx,0,8,4C,B4,00,00,00,00,00,C5,
62528981,00000466,false,Rx,0,8,8C,6F,AC,6C,DC,79,0C,7A,
62529890,00000476,false,Rx,0,8,8C,78,0C,76,0C,78,0C,79,
62530875,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
62553461,00000468,false,Rx,0,8,8C,A3,AC,A4,DC,A9,0C,AA,
62554371,00000478,false,Rx,0,8,8C,A8,0C,A7,0C,AA,0C,AA,
62555347,000007E8,false,Rx,0,8,4C,92,00,00,00,00,00,A7,
62564110,0000046A,false,Rx,0,8,8C,B0,AC,B3,DC,B8,0C,B8,
62565030,0000047A,false,Rx,0,8,8C,B6,0C,B6,0C,B8,0C,B9,
62566016,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
62572975,0000046C,false,Rx,0,6,8B,10,AB,11,DB,1A,00,00,
62573764,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1C,00,00,
62574789,000007EC,false,Rx,0,8,4C,BA,00,00,00,00,00,D3,
62577130,0000046D,false,Rx,0,6,8C,98,AC,98,DC,A2,00,00,
62577937,0000047D,false,Rx,0,6,8C,9E,0C,9F,0C,A0,00,00,
62578931,000007ED,false,Rx,0,8,4C,C2,00,00,00,00,00,DC,
62582587,0000046E,false,Rx,0,6,8C,A1,AC,A1,DC,A8,00,00,
62583395,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A7,00,00,
62584409,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
62599380,00000200,false,Rx,0,3,D2,F3,00,00,00,00,00,00,
62697240,00000460,false,Rx,0,6,8B,0D,8B,0D,3B,15,00,00,
62698028,00000470,false,Rx,0,6,8B,16,0B,16,0B,17,00,00,
62699054,000007E0,false,Rx,0,8,CC,AF,00,00,00,00,00,BE,
62703656,00000461,false,Rx,0,8,8B,0A,8B,09,3B,10,0B,12,
62704567,00000471,false,Rx,0,8,8B,12,0B,12,0B,10,0B,11,
62705572,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
62706556,000007E1,false,Rx,0,8,CC,A4,00,00,00,00,00,B4,
62707339,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
62713948,00000463,false,Rx,0,8,8B,10,8B,10,3B,1B,0B,1A,
62714828,00000473,false,Rx,0,8,8B,1B,0B,1B,0B,1B,0B,1B,
62715822,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
62718754,00000464,false,Rx,0,8,8C,C5,8C,C6,3C,D4,0C,D3,
62719654,00000474,false,Rx,0,8,8C,D3,0C,D5,0C,D3,0C,D3,
62720619,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
62728985,00000466,false,Rx,0,8,8C,6D,8C,6E,3C,79,0C,77,
62729874,00000476,false,Rx,0,8,8C,75,0C,77,0C,79,0C,78,
62730868,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
62753467,00000468,false,Rx,0,8,8C,A2,8C,A3,3C,A9,0C,AA,
62754377,00000478,false,Rx,0,8,8C,A9,0C,A8,0C,AA,0C,AB,
62755352,000007E8,false,Rx,0,8,CC,91,00,00,00,00,00,A8,
62764124,0000046A,false,Rx,0,8,8C,B0,8C,B1,3C,B6,0C,B6,
62765035,0000047A,false,Rx,0,8,8C,B6,0C,B6,0C,B7,0C,B6,
