Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18974674,0000047D,false,Rx,0,6,8C,A1,0C,9F,0C,A1,00,00,
18975679,000007ED,false,Rx,0,8,4C,C3,00,00,00,00,00,DD,
18979386,0000046E,false,Rx,0,6,8C,A1,9C,A2,4C,A9,00,00,
18980184,0000047E,false,Rx,0,6,8C,A9,0C,A8,0C,A8,00,00,
18981199,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
18996182,00000200,false,Rx,0,3,D2,AF,00,00,00,00,00,00,
19094048,00000460,false,Rx,0,6,8B,0F,4B,0D,5B,16,00,00,
19094835,00000470,false,Rx,0,6,8B,17,0B,16,0B,18,00,00,
19095870,000007E0,false,Rx,0,8,CC,B1,00,00,00,00,00,C0,
19100444,00000461,false,Rx,0,8,8B,09,4B,0A,5B,12,0B,14,
19101353,00000471,false,Rx,0,8,8B,12,0B,13,0B,12,0B,14,
19102359,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
19103331,000007E1,false,Rx,0,8,CC,A4,00,00,00,00,00,B4,
19104124,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
19110713,00000463,false,Rx,0,8,8B,0F,4B,12,5B,1B,0B,1A,
19111623,00000473,false,Rx,0,8,8B,1A,0B,1D,0B,1C,0B,1A,
19112617,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
19115539,00000464,false,Rx,0,8,8C,C5,4C,C6,5C,D4,0C,D4,
19116449,00000474,false,Rx,0,8,8C,D4,0C,D5,0C,D3,0C,D2,
19117415,000007E4,false,Rx,0,8,CC,B5,00,00,00,00,00,C8,
19125791,00000466,false,Rx,0,8,8C,70,4C,70,5C,7A,0C,7A,
19126691,00000476,false,Rx,0,8,8C,79,0C,79,0C,79,0C,78,
19127686,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
19150243,00000468,false,Rx,0,8,8C,A2,4C,A4,5C,A9,0C,AA,
19151174,00000478,false,Rx,0,8,8C,AA,0C,A8,0C,AA,0C,AB,
19152149,000007E8,false,Rx,0,8,CC,92,00,00,00,00,00,A9,
19160901,0000046A,false,Rx,0,8,8C,AF,4C,B3,5C,B6,0C,B9,
19161802,0000047A,false,Rx,0,8,8C,B8,0C,B7,0C,B9,0C,B6,
19162797,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
